db_id	question	hardness	query
çiftlik	Toplam 5000'den fazla atı olan çiftliklerdeki çalışan atların ortalama sayısını ver.	easy	SELECT avg(Çalışan_Atlar) FROM çiftlik WHERE Toplam_At > 5000
çiftlik	Bütün çiftlikler arasında maksimum ve minimum inek sayısı nedir?	medium	SELECT max(İnekler) , min(İnekler) FROM çiftlik
çiftlik	Bütün çiftlikler arasında maksimum ve minimum inek sayısını döndür.	medium	SELECT max(İnekler) , min(İnekler) FROM çiftlik
çiftlik	Şehirlerin kaç farklı durumu var?	easy	SELECT count(DISTINCT Durum) FROM şehir
çiftlik	Farklı durum sayısını say.	easy	SELECT count(DISTINCT Durum) FROM şehir
çiftlik	Azalan nüfus sırasına göre şehirlerin resmi isimlerini listele.	easy	SELECT Resmi_İsmi FROM şehir ORDER BY Nüfus DESC
çiftlik	Nüfusa göre azalacak şekilde, şehirlerin resmi isimleri nelerdir?	easy	SELECT Resmi_İsmi FROM şehir ORDER BY Nüfus DESC
çiftlik	En fazla nüfusa sahip şehrin resmi ismini ve durumunu listele.	medium	SELECT Resmi_İsmi , Durum FROM şehir ORDER BY Nüfus DESC LIMIT 1
çiftlik	En çok sakini olan şehrin resmi ismi ve statüsü nedir?	medium	SELECT Resmi_İsmi , Durum FROM şehir ORDER BY Nüfus DESC LIMIT 1
çiftlik	Yarışmaların ev sahibi şehirlerinin yıllarını ve resmi isimlerini göster.	medium	SELECT T2.Yıl , T1.Resmi_İsmi FROM şehir AS T1 JOIN çiftlik_yarışması AS T2 ON T1.Şehir_NO = T2.Ev_sahibi_şehir_NO
çiftlik	Her yarışmanın yılını ve şehirlerinin resmi ismini ver.	medium	SELECT T2.Yıl , T1.Resmi_İsmi FROM şehir AS T1 JOIN çiftlik_yarışması AS T2 ON T1.Şehir_NO = T2.Ev_sahibi_şehir_NO
çiftlik	Birden fazla yarışmaya ev sahipliği yapmış şehirlerin resmi isimlerini göster.	medium	SELECT T1.Resmi_İsmi FROM şehir AS T1 JOIN çiftlik_yarışması AS T2 ON T1.Şehir_NO = T2.Ev_sahibi_şehir_NO GROUP BY T2.Ev_sahibi_şehir_NO HAVING COUNT(*) > 1
çiftlik	Birden fazla yarışmaya ev sahipliği yapmış şehirlerin durumları nelerdir?	medium	SELECT T1.Resmi_İsmi FROM şehir AS T1 JOIN çiftlik_yarışması AS T2 ON T1.Şehir_NO = T2.Ev_sahibi_şehir_NO GROUP BY T2.Ev_sahibi_şehir_NO HAVING COUNT(*) > 1
çiftlik	En fazla yarışmaya sahip şehrin durumunu göster.	extra	SELECT T1.Durum FROM şehir AS T1 JOIN çiftlik_yarışması AS T2 ON T1.Şehir_NO = T2.Ev_sahibi_şehir_NO GROUP BY T2.Ev_sahibi_şehir_NO ORDER BY COUNT(*) DESC LIMIT 1
çiftlik	En çok yarışmaya ev sahipliği yapmış şehrin statüsü nedir?	extra	SELECT T1.Durum FROM şehir AS T1 JOIN çiftlik_yarışması AS T2 ON T1.Şehir_NO = T2.Ev_sahibi_şehir_NO GROUP BY T2.Ev_sahibi_şehir_NO ORDER BY COUNT(*) DESC LIMIT 1
çiftlik	1000'den fazla nüfusa sahip ev sahibi şehirlerin yarışmalarının temalarını gösterin.	medium	SELECT T2.Tema FROM şehir AS T1 JOIN çiftlik_yarışması AS T2 ON T1.Şehir_NO = T2.Ev_sahibi_şehir_NO WHERE T1.Nüfus > 1000
çiftlik	1000'den fazla nüfusa sahip şehirlerde olan yarışmaların temaları nelerdir?	medium	SELECT T2.Tema FROM şehir AS T1 JOIN çiftlik_yarışması AS T2 ON T1.Şehir_NO = T2.Ev_sahibi_şehir_NO WHERE T1.Nüfus > 1000
çiftlik	Lütfen her durum için şehirlerin farklı durumlarını ve ortalama nüfuslarını göster.	medium	SELECT Durum , avg(Nüfus) FROM şehir GROUP BY Durum
çiftlik	Her şehrin durumu ve ortalama nüfusu nedir?	medium	SELECT Durum , avg(Nüfus) FROM şehir GROUP BY Durum
çiftlik	Şehir sayısına göre sıralanmış şekilde farklı durumları göster.	medium	SELECT Durum FROM şehir GROUP BY Durum ORDER BY COUNT(*) ASC
çiftlik	Artan sıklık sırasıyla şehirleriin farklı durumlarını döndür.	medium	SELECT Durum FROM şehir GROUP BY Durum ORDER BY COUNT(*) ASC
çiftlik	Şehirler arasında en yaygın durum türünü listele.	hard	SELECT Durum FROM şehir GROUP BY Durum ORDER BY COUNT(*) DESC LIMIT 1
çiftlik	Şehirler arasında en yaygın durum nedir?	hard	SELECT Durum FROM şehir GROUP BY Durum ORDER BY COUNT(*) DESC LIMIT 1
çiftlik	Hiçbir yarışmaya ev sahipliği yapmamış şehirlerin resmi isimlerini listele.	hard	SELECT Resmi_İsmi FROM şehir WHERE Şehir_NO NOT IN (SELECT Ev_sahibi_şehir_NO FROM çiftlik_yarışması)
çiftlik	Çiftlik yarışmasına ev sahipliği yapmamış şehirlerin resmi isimleri nelerdir?	hard	SELECT Resmi_İsmi FROM şehir WHERE Şehir_NO NOT IN (SELECT Ev_sahibi_şehir_NO FROM çiftlik_yarışması)
çiftlik	Nüfusu 1500'den büyük ve 500'den küçük şehirlerin durumlarını göster.	hard	SELECT Durum FROM şehir WHERE Nüfus > 1500 INTERSECT SELECT Durum FROM şehir WHERE Nüfus < 500
çiftlik	Hem nüfusu 1500'den fazla hem de nüfusu 500'den az olan şehirlere karşılık gelen durumlar hangileridir?	hard	SELECT Durum FROM şehir WHERE Nüfus > 1500 INTERSECT SELECT Durum FROM şehir WHERE Nüfus < 500
çiftlik	1500'den büyük veya 500'den küçük nüfuslu şehirlerin resmi isimlerini bulun.	medium	SELECT Resmi_İsmi FROM şehir WHERE Nüfus > 1500 OR Nüfus < 500
çiftlik	Nüfusu 1500'den fazla ve 500'den az olan şehirlerin resmi isimleri nelerdir?	medium	SELECT Resmi_İsmi FROM şehir WHERE Nüfus > 1500 OR Nüfus < 500
çiftlik	"""Köy"" statüsü olmayan şehirlerin nüfus sıralamalarını göster."	easy	"SELECT Nüfus_Sıralaması FROM şehir WHERE Durum != ""Köy"""
çiftlik	"""Köy"" statüsü olmayan şehirlerin nüfus sıralamaları nelerdir?"	easy	"SELECT Nüfus_Sıralaması FROM şehir WHERE Durum != ""Köy"""
öğrenci_değerlendirme	Hangi ders en çok kayıtlı öğrenciye sahiptir?	extra	SELECT T1.ders_ismi FROM Dersler AS T1 JOIN Öğrenci_Ders_Kayıt AS T2 ON T1.ders_no = T2.ders_no GROUP BY T1.ders_no ORDER BY count(*) DESC LIMIT 1
öğrenci_değerlendirme	En çok kayıtlı öğrencilerin bulunduğu dersin ismi nedir?	extra	SELECT T1.ders_ismi FROM Dersler AS T1 JOIN Öğrenci_Ders_Kayıt AS T2 ON T1.ders_no = T2.ders_no GROUP BY T1.ders_no ORDER BY count(*) DESC LIMIT 1
öğrenci_değerlendirme	Bazı derslere kayıt olan öğrenciler arasında en az derse kayıt olan öğrencilerin numaraları nelerdir?	hard	SELECT öğrenci_no FROM Öğrenci_Ders_Kayıt GROUP BY öğrenci_no ORDER BY count(*) LIMIT 1
öğrenci_değerlendirme	Bazı derslere kayıt olmuş olan ama en az derse kayıt olan öğrencilerin numaraları nedir? 	hard	SELECT öğrenci_no FROM Öğrenci_Ders_Kayıt GROUP BY öğrenci_no ORDER BY count(*) LIMIT 1
öğrenci_değerlendirme	Bütün adayların isimleri ve soyisimleri nelerdir?	medium	SELECT T2.ilk_isim , T2.soyad FROM Adaylar AS T1 JOIN Kişiler AS T2 ON T1.aday_no = T2.kişi_no
öğrenci_değerlendirme	Bütün adayların isimleri ve soyisimleri nelerdir?	medium	SELECT T2.ilk_isim , T2.soyad FROM Adaylar AS T1 JOIN Kişiler AS T2 ON T1.aday_no = T2.kişi_no
öğrenci_değerlendirme	Hiç derse katılmamış öğrencilerin numaralarını listele.	hard	SELECT öğrenci_no FROM Öğrenciler WHERE öğrenci_no NOT IN (SELECT öğrenci_no FROM Öğrenci_Ders_Katılım)
öğrenci_değerlendirme	Hiç derse katılmamış bütün öğrencilerin numaraları nedir?	hard	SELECT öğrenci_no FROM Öğrenciler WHERE öğrenci_no NOT IN (SELECT öğrenci_no FROM Öğrenci_Ders_Katılım)
öğrenci_değerlendirme	Bazı derslere katılan öğrencilerin numaralarını sırala.	easy	SELECT öğrenci_no FROM Öğrenci_Ders_Katılım
öğrenci_değerlendirme	En az bir derse katılmış olan öğrencilerin numaraları nelerdir?	easy	SELECT öğrenci_no FROM Öğrenci_Ders_Katılım
öğrenci_değerlendirme	Bütün öğrencilerin dersler için numaraları nelerdir ve o derslerin isimleri nelerdir?	medium	SELECT T1.öğrenci_no , T2.ders_ismi FROM Öğrenci_Ders_Kayıt AS T1 JOIN Dersler AS T2 ON T1.ders_no = T2.ders_no
öğrenci_değerlendirme	En yakın tarihte kayıt olan öğrencinin detayı nedir?	hard	SELECT T2.öğrenci_ayrıntıları FROM Öğrenci_Ders_Kayıt AS T1 JOIN Öğrenciler AS T2 ON T1.öğrenci_no = T2.öğrenci_no ORDER BY T1.kayıt_tarihi DESC LIMIT 1
öğrenci_değerlendirme	En son kayıt olan öğrenciler hakkında hang detaylara sahibiz?	hard	SELECT T2.öğrenci_ayrıntıları FROM Öğrenci_Ders_Kayıt AS T1 JOIN Öğrenciler AS T2 ON T1.öğrenci_no = T2.öğrenci_no ORDER BY T1.kayıt_tarihi DESC LIMIT 1
öğrenci_değerlendirme	Kaç tane öğrenci İngilizce dersine katıldı?	medium	"SELECT count(*) FROM Dersler AS T1 JOIN Öğrenci_Ders_Katılım AS T2 ON T1.ders_no = T2.ders_no WHERE T1.ders_ismi = ""İngilizce"""
öğrenci_değerlendirme	Kaç öğrenci İngilizce derslerine katılmaktadır?	medium	"SELECT count(*) FROM Dersler AS T1 JOIN Öğrenci_Ders_Katılım AS T2 ON T1.ders_no = T2.ders_no WHERE T1.ders_ismi = ""İngilizce"""
öğrenci_değerlendirme	Numarası 171 olan öğrenci kaç kursa katılmıştır?	medium	SELECT count(*) FROM Dersler AS T1 JOIN Öğrenci_Ders_Katılım AS T2 ON T1.ders_no = T2.ders_no WHERE T2.öğrenci_no = 171
öğrenci_değerlendirme	171 numaralı öğrenci gerçekte kaç tane derse katıldı?	medium	SELECT count(*) FROM Dersler AS T1 JOIN Öğrenci_Ders_Katılım AS T2 ON T1.ders_no = T2.ders_no WHERE T2.öğrenci_no = 171
öğrenci_değerlendirme	stanley.monahan@example.org epostasına sahip adayın numarasını bul.	medium	"SELECT T2.aday_no FROM Kişiler AS T1 JOIN Adaylar AS T2 ON T1.kişi_no = T2.aday_no WHERE T1.eposta_adresi = ""stanley.monahan@example.org"""
öğrenci_değerlendirme	Eposta adresi stanley.monahan@example.org olan adayın numarası nedir?	medium	"SELECT T2.aday_no FROM Kişiler AS T1 JOIN Adaylar AS T2 ON T1.kişi_no = T2.aday_no WHERE T1.eposta_adresi = ""stanley.monahan@example.org"""
öğrenci_değerlendirme	Derse en son erişen adayın numarasını bul.	medium	SELECT aday_no FROM Aday_Değerlendirmeleri ORDER BY değerlendirme_tarihi DESC LIMIT 1
öğrenci_değerlendirme	En yakın zamanda bir derse girmiş adayın numarası nedir?	medium	SELECT aday_no FROM Aday_Değerlendirmeleri ORDER BY değerlendirme_tarihi DESC LIMIT 1
öğrenci_değerlendirme	En fazla derse kaydolmuş olan öğrencinin ayrıntıları nelerdir?	extra	SELECT T1.öğrenci_ayrıntıları FROM Öğrenciler AS T1 JOIN Öğrenci_Ders_Kayıt AS T2 ON T1.öğrenci_no = T2.öğrenci_no GROUP BY T1.öğrenci_no ORDER BY count(*) DESC LIMIT 1
öğrenci_değerlendirme	En çok derse kaydolmuş öğrencinin ayrıntıları nelerdir?	extra	SELECT T1.öğrenci_ayrıntıları FROM Öğrenciler AS T1 JOIN Öğrenci_Ders_Kayıt AS T2 ON T1.öğrenci_no = T2.öğrenci_no GROUP BY T1.öğrenci_no ORDER BY count(*) DESC LIMIT 1
öğrenci_değerlendirme	Bazı derslere kayıt olmuş öğrencilerin numaralarını ve kayıt oldukları ders sayılarını listele.	medium	SELECT T1.öğrenci_no , count(*) FROM Öğrenciler AS T1 JOIN Öğrenci_Ders_Kayıt AS T2 ON T1.öğrenci_no = T2.öğrenci_no GROUP BY T1.öğrenci_no
öğrenci_değerlendirme	Herhangi bir derse kaydolmuş tüm öğrenciler kaç kursa kaydolmuşlardır?	medium	SELECT T1.öğrenci_no , count(*) FROM Öğrenciler AS T1 JOIN Öğrenci_Ders_Kayıt AS T2 ON T1.öğrenci_no = T2.öğrenci_no GROUP BY T1.öğrenci_no
öğrenci_değerlendirme	Her dersin kaç tane kayıtlı öğrencisi var? Ders ismini ve kayıtlı öğrenci sayısını listele.	hard	SELECT T3.ders_ismi , count(*) FROM Öğrenciler AS T1 JOIN Öğrenci_Ders_Kayıt AS T2 ON T1.öğrenci_no = T2.öğrenci_no JOIN Dersler AS T3 ON T2.ders_no = T3.ders_no GROUP BY T2.ders_no
öğrenci_değerlendirme	Her ders numarası için kaç öğrenci kayıt olmuştur ve ders isimleri nelerdir?	hard	SELECT T3.ders_ismi , count(*) FROM Öğrenciler AS T1 JOIN Öğrenci_Ders_Kayıt AS T2 ON T1.öğrenci_no = T2.öğrenci_no JOIN Dersler AS T3 ON T2.ders_no = T3.ders_no GROUP BY T2.ders_no
öğrenci_değerlendirme	"Sınav kosu ""Geçti"" olan adayların numaralarını bul."	easy	"SELECT aday_no FROM Aday_Değerlendirmeleri WHERE değerlendirme_sonuç_kodu = ""Geçti"""
öğrenci_değerlendirme	Sonuç kodu Geçti olan adayların numaraları nelerdir?	easy	"SELECT aday_no FROM Aday_Değerlendirmeleri WHERE değerlendirme_sonuç_kodu = ""Geçti"""
öğrenci_değerlendirme	"Değerlendirme kodu ""Kaldı"" olan adayların telefon numaralarını bul."	hard	"SELECT T3.cep_telefonu_numarası FROM Adaylar AS T1 JOIN Aday_Değerlendirmeleri AS T2 ON T1.aday_no = T2.aday_no JOIN Kişiler AS T3 ON T1.aday_no = T3.kişi_no WHERE T2.değerlendirme_sonuç_kodu = ""Kaldı"""
öğrenci_değerlendirme	"Sonuç kosu ""Kaldı"" olan adayların telefon numaraları nedir?"	hard	"SELECT T3.cep_telefonu_numarası FROM Adaylar AS T1 JOIN Aday_Değerlendirmeleri AS T2 ON T1.aday_no = T2.aday_no JOIN Kişiler AS T3 ON T1.aday_no = T3.kişi_no WHERE T2.değerlendirme_sonuç_kodu = ""Kaldı"""
öğrenci_değerlendirme	Ders 301'e kayıtlı öğrencilerin numaraları nelerdir?	easy	SELECT öğrenci_no FROM Öğrenci_Ders_Katılım WHERE ders_no = 301
öğrenci_değerlendirme	301 numaralı derse kaydolan öğrencilerin numaraları nelerdir?	easy	SELECT öğrenci_no FROM Öğrenci_Ders_Katılım WHERE ders_no = 301
öğrenci_değerlendirme	301 dersine en son kaydolan öğrencinin numarası nedir?	hard	SELECT öğrenci_no FROM Öğrenci_Ders_Katılım WHERE ders_no = 301 ORDER BY katılım_tarihi DESC LIMIT 1
öğrenci_değerlendirme	Ders 301'e en son kaydolan öğrencilerin numaraları nelerdir?	hard	SELECT öğrenci_no FROM Öğrenci_Ders_Katılım WHERE ders_no = 301 ORDER BY katılım_tarihi DESC LIMIT 1
öğrenci_değerlendirme	Kişilerin adreslerinin farklı şehirlerini bul.	easy	SELECT DISTINCT T1.şehir FROM Adresler AS T1 JOIN Kişi_Adresleri AS T2 ON T1.adres_no = T2.adres_no
öğrenci_değerlendirme	İnsanların yaşadığı farklı şehirler nelerdir?	easy	SELECT DISTINCT T1.şehir FROM Adresler AS T1 JOIN Kişi_Adresleri AS T2 ON T1.adres_no = T2.adres_no
öğrenci_değerlendirme	Öğrencilerin adreslerinin farklı şehirlerini bul.	medium	SELECT DISTINCT T1.şehir FROM Adresler AS T1 JOIN Kişi_Adresleri AS T2 ON T1.adres_no = T2.adres_no JOIN Öğrenciler AS T3 ON T2.kişi_no = T3.öğrenci_no
öğrenci_değerlendirme	Öğrencilerin yaşadığı farklı şehirler nelerdir?	medium	SELECT DISTINCT T1.şehir FROM Adresler AS T1 JOIN Kişi_Adresleri AS T2 ON T1.adres_no = T2.adres_no JOIN Öğrenciler AS T3 ON T2.kişi_no = T3.öğrenci_no
öğrenci_değerlendirme	Derslerin isimlerini alfabetik sıraya göre sırala.	easy	SELECT ders_ismi FROM Dersler ORDER BY ders_ismi
öğrenci_değerlendirme	Alfabetik sırada derslerin isimleri nelerdir?	easy	SELECT ders_ismi FROM Dersler ORDER BY ders_ismi
öğrenci_değerlendirme	Kişilerin isimlerini alfabetik sırada listele.	easy	SELECT ilk_isim FROM Kişiler ORDER BY ilk_isim
öğrenci_değerlendirme	Alfabetik sıraya göre kişilerin ilk isimleri nelerdir?	easy	SELECT ilk_isim FROM Kişiler ORDER BY ilk_isim
öğrenci_değerlendirme	Derse kayıt olan veya katılan öğrencilerin numaraları nelerdir?	hard	SELECT öğrenci_no FROM Öğrenci_Ders_Kayıt UNION SELECT öğrenci_no FROM Öğrenci_Ders_Katılım
öğrenci_değerlendirme	Herhangi bir derse kayıt olmuş ve katılmış öğrencilerin numaraları nelerdir?	hard	SELECT öğrenci_no FROM Öğrenci_Ders_Kayıt UNION SELECT öğrenci_no FROM Öğrenci_Ders_Katılım
öğrenci_değerlendirme	Numarası 121 olan öğrenci tarafından kaydolunan ya da katılınılan derslerin numaralarını bul.	hard	SELECT ders_no FROM Öğrenci_Ders_Kayıt WHERE öğrenci_no = 121 UNION SELECT ders_no FROM Öğrenci_Ders_Katılım WHERE öğrenci_no = 121
öğrenci_değerlendirme	Numarası 121 olan öğrencinin kaydolduğu veya katıldığı derslerin numaraları nelerdir?	hard	SELECT ders_no FROM Öğrenci_Ders_Kayıt WHERE öğrenci_no = 121 UNION SELECT ders_no FROM Öğrenci_Ders_Katılım WHERE öğrenci_no = 121
öğrenci_değerlendirme	Derse kayıt olup girmeyen öğrencilerin bütün bilgileri nelerdir?	hard	SELECT * FROM Öğrenci_Ders_Kayıt WHERE öğrenci_no NOT IN (SELECT öğrenci_no FROM Öğrenci_Ders_Katılım)
öğrenci_değerlendirme	Derslere kaydolan ama katılmayan öğrencilerin ayrıntıları nelerdir?	hard	SELECT * FROM Öğrenci_Ders_Kayıt WHERE öğrenci_no NOT IN (SELECT öğrenci_no FROM Öğrenci_Ders_Katılım)
öğrenci_değerlendirme	Kayıt tarihlerine göre istatistik dersine kaydolan öğrencilerin numaralarını listele.	hard	"SELECT T2.öğrenci_no FROM Dersler AS T1 JOIN Öğrenci_Ders_Kayıt AS T2 ON T1.ders_no = T2.ders_no WHERE T1.ders_ismi = ""istatistik"" ORDER BY T2.kayıt_tarihi"
öğrenci_değerlendirme	Kayıt tarihlerine göre, istatistik derslerine kayıt olmuş öğrencilerin kimlikleri nelerdir?	hard	"SELECT T2.öğrenci_no FROM Dersler AS T1 JOIN Öğrenci_Ders_Kayıt AS T2 ON T1.ders_no = T2.ders_no WHERE T1.ders_ismi = ""istatistik"" ORDER BY T2.kayıt_tarihi"
öğrenci_değerlendirme	İstatistik derslerine katılan öğrencilerin numaralarını katılım tarihlerine göre listele.	hard	"SELECT T2.öğrenci_no FROM Dersler AS T1 JOIN Öğrenci_Ders_Katılım AS T2 ON T1.ders_no = T2.ders_no WHERE T1.ders_ismi = ""istatistik"" ORDER BY T2.katılım_tarihi"
öğrenci_değerlendirme	Katılma tarihi sırasına göre istatistik departmanında derse katılmış öğrencilerin numaraları nelerdir?	hard	"SELECT T2.öğrenci_no FROM Dersler AS T1 JOIN Öğrenci_Ders_Katılım AS T2 ON T1.ders_no = T2.ders_no WHERE T1.ders_ismi = ""istatistik"" ORDER BY T2.katılım_tarihi"
bisiklet_1	Bana maksimum sıcaklığın 85'ten yüksek olduğu tarihleri ver.	easy	SELECT tarih FROM hava_durumu WHERE maks_sıcaklık_f > 85
bisiklet_1	85'ten yüksek maksimum dereceye sahip olan tarihler nelerdir?	easy	SELECT tarih FROM hava_durumu WHERE maks_sıcaklık_f > 85
bisiklet_1	37.5'ten küçük enleme sahip olan bütün istasyonların isimleri nelerdir?	easy	SELECT istasyon_ismi FROM istasyon WHERE enlem < 37.5
bisiklet_1	Enlemi 37.5'ten küçük olan bütün istasyonların isimleri nelerdir?	easy	SELECT istasyon_ismi FROM istasyon WHERE enlem < 37.5
bisiklet_1	Her şehir için istasyonlarından en büyük enleme sahip olanı döndür.	medium	SELECT şehir , max(enlem) FROM istasyon GROUP BY şehir
bisiklet_1	Her şehir için istasyonlarının en büyük enlemi nedir?	medium	SELECT şehir , max(enlem) FROM istasyon GROUP BY şehir
bisiklet_1	Bana en eski üç kimliğe sahip gezilerin başlangıç ve varış istasyonlarını ver.	medium	SELECT başlangıç_istasyonu_ismi , varış_istasyonu_ismi FROM gezi ORDER BY gezi_no LIMIT 3
bisiklet_1	En küçük numaralara sahip olan 3 gezinin başlangıç ve varış istasyonları nelerdir?	medium	SELECT başlangıç_istasyonu_ismi , varış_istasyonu_ismi FROM gezi ORDER BY gezi_no LIMIT 3
bisiklet_1	San Jose'da bulunan istasyonların ortalama enlem ve boylamı nedir?	medium	"SELECT avg(enlem) , avg(boylam) FROM istasyon WHERE şehir = ""San Jose"""
bisiklet_1	San Jose'nin ortalama enlemi ve boylamı nedir?	medium	"SELECT avg(enlem) , avg(boylam) FROM istasyon WHERE şehir = ""San Jose"""
bisiklet_1	En kısa süreli gezinin numarası nedir?	medium	SELECT gezi_no FROM gezi ORDER BY süre LIMIT 1
bisiklet_1	En kısa gezinin numarası nedir?	medium	SELECT gezi_no FROM gezi ORDER BY süre LIMIT 1
bisiklet_1	Bisiklet kimliği 636 olan gezilerin toplam ve maksimum süreleri nelerdir?	medium	SELECT sum(süre) , max(süre) FROM gezi WHERE bisiklet_no = 636
bisiklet_1	Bisiklet numarası 636 olan tüm gezilerin toplam ve maksimum süresi nedir?	medium	SELECT sum(süre) , max(süre) FROM gezi WHERE bisiklet_no = 636
bisiklet_1	Her zip kodu için oradaki ortalama Ağustos ortalama sıcaklığını döndür.	hard	"SELECT zip_kodu , avg(ortalama_sıcaklık_f) FROM hava_durumu WHERE tarih LIKE ""8/%"" GROUP BY zip_kodu"
bisiklet_1	Her posta kodu için, '8' ile başlayan tarihlerdeki ortalama sıcaklık nedir?	hard	"SELECT zip_kodu , avg(ortalama_sıcaklık_f) FROM hava_durumu WHERE tarih LIKE ""8/%"" GROUP BY zip_kodu"
bisiklet_1	Gezi kayıtlarından farklı bisiklet sayısını bul.	easy	SELECT count(DISTINCT bisiklet_no) FROM gezi
